,Accuracy,Recall,Precision
0,0.7883568641243364,0.4407798263717278,0.8155908857571511
1,0.8632534458791807,0.6486429945730808,0.8973978031068468
2,0.8902008072484885,0.7258607910204531,0.9246532250977321
3,0.9050143194493292,0.7693204539949191,0.935775361697675
4,0.9087072300658192,0.7834540613847629,0.9382920419840609
5,0.9105829941884808,0.79137940960162,0.9418887119983246
6,0.9121321743790718,0.7961571370188687,0.9418064559259873
7,0.914887202934231,0.8049328423489909,0.945211978056534
8,0.9198445795441224,0.8199583319735829,0.9441338824012556
9,0.9232025322815656,0.8246026560327719,0.9508997943168126
