iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.05,64,61,0.9605272805152407,0.8898161320177369,0.9263126289779235,106.36328125,13897
2,0.05,64,58,0.9621518787069587,0.8946930242252782,0.9293588788358564,106.36328125,13897
