iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.961130567227262,0.8939450679680053,0.9492486560503014,106.36328125,13897
2,0.1,64,52,0.9602364889936496,0.8941004707340214,0.9440956271342742,106.36328125,13897
3,0.1,64,47,0.9593176734176052,0.8889215854396326,0.9487076804402339,106.36328125,13897
4,0.1,64,42,0.9589854862478046,0.8885245995976876,0.9481300230755311,106.36328125,13897
