cutoff_hz,filter_order,peak_loss_percent,peak_preserved_percent,noise_reduction_percent,snr_db,gesture_correlation,composite_score
30,2,9.805724676207246,90.19427532379275,92.12801217108499,-0.5776783802806785,0.5507340585793313,1.3546195650551864
30,3,9.889056189365606,90.1109438106344,115.68654196543137,-2.42438194182554,0.2971160659271113,1.0993349421397993
25,2,18.203968122505636,81.79603187749436,99.7351522995515,-1.8445253928450367,0.45352522506980947,1.0894458626196966
20,2,24.816308283941993,75.18369171605801,106.21651341718439,-3.2624189929488026,0.3450689017258246,0.8487427360469848
25,3,18.51652388957297,81.48347611042703,122.00005663433744,-3.5205785282597097,0.18496621019428125,0.8146357324028219
30,4,14.48116049083413,85.51883950916587,131.46925494601928,-3.4679788048894493,0.10199737396674453,0.8123741641500619
30,5,13.352412517058978,86.64758748294102,140.6845763227575,-4.016847133676748,-0.015357357116465827,0.7175943925423547
18,2,29.115179151353804,70.8848208486462,108.22019838203698,-3.885958580637625,0.2993341334086014,0.7170305503815255
25,4,20.409151815090468,79.59084818490953,134.00799889824856,-4.302000110658008,0.02527290279792391,0.6170898664961146
20,3,28.89109118933377,71.10890881066624,124.2231507377344,-4.668908773983416,0.09524687270949223,0.5174250489228169
25,5,22.66698146958111,77.33301853041888,138.42238700419514,-4.566005497461953,-0.034615234049585296,0.5120451365587924
15,2,38.52322695653606,61.47677304346394,110.33488819738253,-4.905740306290445,0.2279300524859031,0.4574655133551819
18,3,34.44718823630302,65.55281176369698,123.75360925114411,-5.15693291590455,0.06500901328342691,0.3760652485573665
20,4,32.296070931762436,67.70392906823756,130.5357231124512,-5.133570971971548,-0.00857458940536288,0.34550399195938825
20,5,35.157273636684835,64.84272636331517,130.6122840155449,-5.162491026870204,-0.03468501037907607,0.26216951688722717
18,4,38.99352247673977,61.00647752326023,127.84881629365769,-5.500474841200481,-0.021766899377157214,0.1983626510880473
12,2,50.07284582703975,49.92715417296025,111.13456165893751,-6.068334036452775,0.1517591570437236,0.15030224050292862
15,3,44.12809533481859,55.87190466518141,121.63026112169275,-5.951861708276516,0.020029146873350542,0.1374672401769788
18,5,40.93089743592409,59.06910256407591,126.91592831046334,-5.47228025015003,-0.04810551912070552,0.1332765321608128
15,4,47.71051651633246,52.28948348366754,122.8547387615061,-6.137134440709348,-0.04940348030178322,-0.0036138106284324123
15,5,49.25576639733049,50.74423360266951,120.971777874329,-6.0566947878629005,-0.07434088646787056,-0.0594562144144804
10,2,58.68221333249489,41.31778666750511,110.79084240814916,-6.957109249130875,0.09825740814863204,-0.0753868585012657
12,3,55.706235731144226,44.293764268855774,117.99291162834847,-6.875741377375073,-0.028789272025381663,-0.1429139866482662
12,4,58.15493426696686,41.84506573303314,117.25752751688267,-6.940636654100826,-0.08286731786256663,-0.24596600320190387
12,5,59.55420338507786,40.44579661492214,115.3265146997284,-6.8517430026845325,-0.0971804830354941,-0.2882645507370514
8,2,69.3304450257334,30.669554974266603,109.61568334762603,-7.960568351436347,0.046091079152663604,-0.34051782136200437
10,3,64.40520595072022,35.594794049279784,114.82412079231324,-7.615187502943136,-0.06064113551266688,-0.34874525452707117
10,4,66.21732852222509,33.78267147777491,113.22577850157258,-7.631545231333349,-0.09511320837989143,-0.4194597788243931
10,5,67.07982620794411,32.92017379205589,111.12016721587928,-7.533371050162756,-0.08201005083037918,-0.42360657498926135
8,5,74.50028447408367,25.49971552591633,106.59558360870614,-8.392192840529605,-0.02869483247111975,-0.5187005219527931
8,3,73.37943995469719,26.62056004530281,110.95860029456136,-8.473974415835212,-0.07568289916161638,-0.5432716982555602
8,4,74.10406716728701,25.895932832712987,108.63500469035714,-8.463934246637479,-0.07090219807406616,-0.5529835414198064
5,2,84.79613817474731,15.203861825252687,106.27682292257761,-9.667174085051524,-0.010537727806899747,-0.706460491301846
5,4,86.09214245069987,13.907857549300132,103.91682543942355,-9.89938583121813,-0.023708429647031,-0.7455512786610284
5,5,86.32970167337564,13.670298326624362,103.7078055596998,-9.920936225597307,-0.019888011270876166,-0.7464820447383889
5,3,85.60284623195601,14.397153768043992,105.17321600603893,-9.902976978485809,-0.04787141673518294,-0.7599283413743031
