Metric,No Filter,With Filter (12Hz),Improvement,Improvement (%)
Accuracy,0.8393212111066938,0.8916783494800277,5.235713837333389,+5.24%
Recall,0.5672401504589273,0.7376170636135084,17.037691315458115,+17.04%
Precision,0.9045641907242528,0.9292398443065748,2.4675653582322044,+2.47%
