prune_percent,compression,recall,accuracy,precision,recall_drop,acc_drop,prec_drop,size_kb,params,performance_penalty,compression_benefit,overall_score
10,1.095679246715772,89.3795357204159,96.2376183747122,94.24872769868945,0.45249613441737946,0.047507444623995365,-0.1141420192263154,51.44140625,12649,1.3383612732738137,0.956792467157721,-0.3815688061160927
20,1.2116046687379294,89.12714444274879,96.1804529159553,94.36204162974897,0.7048874120844983,0.10467290338089796,-0.22745595028583754,46.51953125,11401,2.0965520927294534,2.116046687379294,0.01949459464984038
30,1.3287595542867667,89.36991564766234,96.21080209288387,94.03629709728088,0.46211620717093727,0.07432372645231888,0.09828858218225989,42.41796875,10361,1.6332846565997095,3.2875955428676673,1.6543108862679579
40,1.4709960240595372,89.17668187247094,96.12808734229561,93.88049834150752,0.6553499823623521,0.15703847704058305,0.2540873379556219,38.31640625,9321,2.5342142391238442,4.709960240595372,2.1757460014715275
50,1.4058423458579552,86.10603816984214,95.4290479210909,93.57700836091037,3.784848899301929,0.9312856189813368,1.0504307352289466,42.14453125,10291,14.267548671097408,4.0584234585795524,-10.209125212517856
