iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.05,64,61,0.963646341575894,0.8923559802106886,0.9512041149037073,106.36328125,13897
2,0.05,64,58,0.9638169727266858,0.8940016841691266,0.9503454840154335,106.36328125,13897
