epoch,loss,cumulative_epoch,iteration
1,0.09615877416505691,1,1
2,0.09169254377676893,2,1
3,0.09111716085057411,3,1
1,0.09593727330549949,4,2
2,0.09399040385042293,5,2
3,0.09333203687930103,6,2
1,0.0988825053460275,7,3
2,0.09690883023459958,8,3
3,0.0962329328403663,9,3
1,0.10246943246622164,10,4
2,0.10046809852372938,11,4
3,0.10025306782173667,12,4
4,0.10006789195176097,13,4
