filter_type,config_label,signal_label,snr_db,smoothness_score,correlation,peak_preservation,edge_sharpness,phase_delay_ms,composite_score
Butterworth,40Hz-O2,ID01-Seat-G1,6.77009674352374,1.596789681791515,0.6365905455365134,0.9470637492389619,1.7462464843544794,5.0,62.77984458124239
Butterworth,40Hz-O2,ID05-Stand-G2,2.9775754056888126,0.23805794816919532,0.5345370699532099,0.9665383802901565,7.49134189630454,5.0,58.319295331788666
Butterworth,40Hz-O2,ID08-Seat-G3,8.927470711540305,1.5552298016266963,0.6821027748299854,0.9868521575965428,1.1577399059746076,5.0,65.47750231074791
Butterworth,40Hz-O2,ID10-Stand-G4,10.326524222099176,1.66759786936265,0.6095425233922378,0.9413249183316094,0.20543432363557268,5.0,66.104717739199
Butterworth,40Hz-O3,ID01-Seat-G1,4.638542867928908,1.589585980879012,0.5096422224595089,0.9658986835664226,1.719291720623769,9.166666666666666,58.95701962087399
Butterworth,40Hz-O3,ID05-Stand-G2,1.0358863986535514,0.23400455959650035,0.3659146821564305,0.9821246425395848,7.369617529837996,10.0,54.190869727524706
Butterworth,40Hz-O3,ID08-Seat-G3,6.753141926695126,1.5522558999410243,0.587215425335879,0.9740250737977164,1.1874385129285991,7.5,62.02738298570281
Butterworth,40Hz-O3,ID10-Stand-G4,8.368333125025691,1.6702343982038208,0.5002659206580033,0.9490303558990535,0.19247799543012092,9.166666666666666,62.532145976122656
Butterworth,42Hz-O2,ID01-Seat-G1,7.149048073268266,1.5841315599736687,0.6523379905946322,0.949475986663851,1.764903224932966,5.0,63.288962936047255
Butterworth,42Hz-O2,ID05-Stand-G2,3.3393557408641334,0.2185127454591899,0.5552739991708463,0.9703874479856297,7.84565971785452,5.0,58.85584797457363
Butterworth,42Hz-O2,ID08-Seat-G3,9.301314276265888,1.5436099401734344,0.6931143234374523,0.9886677524414381,1.1893846427887442,5.0,65.94301046425397
Butterworth,42Hz-O2,ID10-Stand-G4,10.635418577659534,1.6481976602952038,0.6220669947348143,0.9426296577643941,0.21218625590400222,5.0,66.51406932699261
Butterworth,42Hz-O3,ID01-Seat-G1,5.032462035622686,1.578226739980595,0.5343028854750472,0.9675798187194888,1.7852940376747728,5.833333333333333,60.210966103616315
Butterworth,42Hz-O3,ID05-Stand-G2,1.3913999521532912,0.2142440341098648,0.39488945059974084,0.9954306879805551,7.479386934839728,7.5,55.330224271554115
Butterworth,42Hz-O3,ID08-Seat-G3,7.1432038454787765,1.5413393329847045,0.6027261419577971,0.9750151670815695,1.2025301780676025,5.0,63.038725745570105
Butterworth,42Hz-O3,ID10-Stand-G4,8.67801459705634,1.6503080019075826,0.5123027855162181,0.9512660674363239,0.19663656023120069,6.666666666666667,63.44328249227627
Butterworth,44Hz-O2,ID01-Seat-G1,7.514358853418574,1.5724395423234692,0.6665788608334863,0.9594660717503422,1.7733629393155248,5.0,63.811030668421424
Butterworth,44Hz-O2,ID05-Stand-G2,3.691616353229609,0.20049952780983002,0.5745477353470388,0.9735704321322861,8.172550677905742,5.0,59.368576528993835
Butterworth,44Hz-O2,ID08-Seat-G3,9.66305741328105,1.5325971956069244,0.7032663077548759,0.9902039508237724,1.21874605488536,5.0,66.38857447556148
Butterworth,44Hz-O2,ID10-Stand-G4,10.938430796082683,1.6297735763932686,0.6344138587993511,0.9439525322503989,0.21823948979376787,5.0,66.9162973983298
Butterworth,44Hz-O3,ID01-Seat-G1,5.412617449275465,1.5678466598098335,0.5563236065577122,0.95770132424293,1.8375978800624029,5.0,60.87355111967295
Butterworth,44Hz-O3,ID05-Stand-G2,1.7430035515485016,0.19629683357365182,0.4222619373196304,0.9980858509554208,7.544180908187655,5.833333333333333,56.23373066955617
Butterworth,44Hz-O3,ID08-Seat-G3,7.5222698290532195,1.5309012842113277,0.6166253286764632,0.9765931852843149,1.2084871180247068,5.0,63.52992572054828
Butterworth,44Hz-O3,ID10-Stand-G4,8.979588991203308,1.6313126990143985,0.5240007936116391,0.9529661220696305,0.20115107618680791,5.0,64.17442555363874
Butterworth,46Hz-O2,ID01-Seat-G1,7.867741913222146,1.5614926340524125,0.6795380060670254,0.9817583336909594,1.7946958222873157,5.0,64.37306862717963
Butterworth,46Hz-O2,ID05-Stand-G2,4.035211607397343,0.18377411433086685,0.5924999481016148,0.9764421673065075,8.47508783107017,5.0,59.86117205469199
Butterworth,46Hz-O2,ID08-Seat-G3,10.01427580488769,1.5220547475439996,0.7127173855450079,1.0028537319103907,1.2462929853533777,5.0,66.85965619647524
Butterworth,46Hz-O2,ID10-Stand-G4,11.236926599530177,1.6121928852202683,0.6466343023736667,0.9450377168588568,0.22359598680213574,5.0,67.31187245162695
Butterworth,46Hz-O3,ID01-Seat-G1,5.78046465017686,1.5581455645332796,0.5758941877731099,0.9590200946435502,1.873982989441185,5.0,61.394771531692925
Butterworth,46Hz-O3,ID05-Stand-G2,2.091219368840832,0.17994548577470956,0.4480432835656511,1.0001864581499111,7.715554407682546,5.0,56.95154399558322
Butterworth,46Hz-O3,ID08-Seat-G3,7.891858251681384,1.5207909942805304,0.629145021082228,0.9894815093317813,1.2173082298065432,5.0,64.057853456457
Butterworth,46Hz-O3,ID10-Stand-G4,9.273760183353048,1.6129843912535182,0.5355032563163507,0.9472640536426121,0.2055329136809583,5.0,64.52635487393873
Butterworth,48Hz-O2,ID01-Seat-G1,8.210909854745129,1.5511077461456626,0.6914230560952639,0.9838993282015859,1.8150509860517223,5.0,64.81607941646753
Butterworth,48Hz-O2,ID05-Stand-G2,4.37090905967702,0.16811753543906083,0.6092632711394469,0.978832961800276,8.755738368769952,5.0,60.33454840222424
Butterworth,48Hz-O2,ID08-Seat-G3,10.35643934699703,1.511872927067282,0.7216076011715472,1.0037925387432824,1.2717170889895206,5.0,67.26849635578364
Butterworth,48Hz-O2,ID10-Stand-G4,11.532363841993153,1.5953548422129413,0.6587780462183505,0.9460178804396974,0.2282677254041039,5.0,67.70328859082927
Butterworth,48Hz-O3,ID01-Seat-G1,6.1374760235977375,1.548855656231984,0.5932325681843272,0.9684000076692039,1.9062245605178723,5.0,61.9287203233262
Butterworth,48Hz-O3,ID05-Stand-G2,2.4360025729428725,0.16495464568136134,0.4721744017853469,0.9888120302360726,7.870025452715281,5.0,57.421370737513335
Butterworth,48Hz-O3,ID08-Seat-G3,8.25354711735528,1.510896093042333,0.6405088832413307,0.9904911835823914,1.228224819449325,5.0,64.50981965957722
Butterworth,48Hz-O3,ID10-Stand-G4,9.56211485945334,1.5951593693667672,0.5470418166954808,0.9484866004097695,0.20902036256724266,5.0,64.9073614867183
Butterworth,50Hz-O2,ID01-Seat-G1,8.545571135574335,1.54113486985547,0.702426012831027,0.9857743433391767,1.8544369736019501,5.0,65.24263794850292
Butterworth,50Hz-O2,ID05-Stand-G2,4.699456777587932,0.1533294251492042,0.624967999552609,0.9807134509303994,9.01614488357898,5.0,60.7902840288845
Butterworth,50Hz-O2,ID08-Seat-G3,10.690919002961571,1.5019635402795897,0.7300609834563957,1.0046054931987352,1.3046272105906938,5.0,67.66637637888454
Butterworth,50Hz-O2,ID10-Stand-G4,11.826250218877952,1.5791882559732286,0.6708859463621053,0.9473642946831228,0.23297377742474026,5.0,68.09471629000936
Butterworth,50Hz-O3,ID01-Seat-G1,6.485110973509605,1.5397483837959651,0.6086015436084996,0.9703986558217665,1.9254605960656273,5.0,62.401615829682186
