,Accuracy,Recall,Precision
0,0.9077897891318253,0.756588576018139,0.8822444552365667
1,0.927823502595654,0.8175046112540512,0.9031215633292418
2,0.9404572167662639,0.8403364766194077,0.9342480266154374
3,0.9486594127354907,0.8699339871741845,0.9322260084709522
4,0.9554056394072933,0.8776983347349161,0.9478748848480049
5,0.959466097472197,0.8875604675043567,0.9552658283690441
6,0.9562820481105971,0.8766434091270414,0.9493990547571611
7,0.9618055432850484,0.8984613959297286,0.9497763145562658
8,0.9565435571591636,0.8802680205913636,0.9474191976088214
9,0.9609892109847936,0.8938851753341316,0.9506539222582081
