cutoff,accuracy,recall,precision,improvement
No Filter,0.8393212111066938,0.5672401504589273,0.9045641907242528,0.0
10 Hz,0.8750768973237639,0.6785760570138011,0.9169008352326872,3.575568621707015
12 Hz,0.8916783494800277,0.7376170636135084,0.9292398443065748,5.235713837333389
15 Hz,0.8483061664330104,0.6084338999291288,0.8787105801089453,0.8984955326316602
18 Hz,0.8559352179280618,0.6364314742950119,0.8860302870937915,1.6614006821368044
20 Hz,0.8619405327362892,0.6440697295938322,0.916776091936711,2.2619321629595457
