,Accuracy,Recall,Precision
0,0.9389097055271068,0.798932620226901,0.8932085298299581
1,0.9503166229967469,0.8663421620038341,0.900183795928936
2,0.9539748631054137,0.8716823451174459,0.9131516166402573
3,0.9559699159916802,0.8761419573932795,0.9181534854415201
4,0.958277540026472,0.8827371592774631,0.9219422061443925
5,0.9581540551282892,0.8769964262517738,0.9264293842737577
6,0.9601645436268287,0.8767615698059622,0.93575855573185
7,0.9604925503876268,0.8841934498098247,0.9313054655572961
8,0.9609324653374032,0.8867885019047363,0.9287624207350555
9,0.9619627924566163,0.8896412021900199,0.9323266062081063
