filter_type,config_label,signal_label,snr_db,smoothness_score,correlation,peak_preservation,edge_sharpness,phase_delay_ms,composite_score
Butterworth,5Hz-O2,ID01-Seat-G1,-6.12785327516249,3.1101533116244426,-0.13318566689595182,0.36537735788371134,0.22430332066808278,35.833333333333336,41.16132762103225
Butterworth,5Hz-O2,ID05-Stand-G2,-8.552470283008692,2.078301547506507,-0.10273337372944573,0.4070205731798375,0.7130998996488039,32.5,42.26460256292834
Butterworth,5Hz-O2,ID08-Seat-G3,-4.002942384952125,2.737523168671743,0.0735071363584187,0.19069424746379626,0.19843588527477418,39.166666666666664,41.17144142667379
Butterworth,5Hz-O2,ID10-Stand-G4,-0.3750708857582829,2.6436459901571525,0.24783477884015095,0.5400972632307967,0.03732890818865341,39.166666666666664,25.424586280717804
Butterworth,5Hz-O3,ID01-Seat-G1,-7.437804762849733,3.2874175298934496,-0.17566248406247867,0.5198663238511279,0.12123536817218596,66.66666666666667,38.78186298878705
Butterworth,5Hz-O3,ID05-Stand-G2,-9.708527972293858,2.3211455973785524,-0.04023605494151113,0.478711261787633,0.41242567268917857,64.16666666666667,39.59178589687683
Butterworth,5Hz-O3,ID08-Seat-G3,-5.383409899316369,2.863415118676119,0.013961194553456983,0.28231056445943614,0.13484907876166033,64.16666666666667,39.0162617814481
Butterworth,5Hz-O3,ID10-Stand-G4,-1.8449637088065283,2.699403222686423,0.16476933443535194,0.3994029691127062,0.03397635543105223,62.5,20.925691483144334
Butterworth,5Hz-O4,ID01-Seat-G1,-7.810092298806775,3.3602974165775152,-0.12051682558434275,0.5178848417568923,0.04562568487755447,92.5,22.87325348016823
Butterworth,5Hz-O4,ID05-Stand-G2,-10.52852500974154,2.415359452438654,-0.004091979244383939,0.395208578276526,0.29440714100022386,90.0,39.44535304704975
Butterworth,5Hz-O4,ID08-Seat-G3,-6.008769451425214,2.9206982747731036,0.024632342290855955,0.49111890583168627,0.09059076635965957,88.33333333333333,37.31756700423772
Butterworth,5Hz-O4,ID10-Stand-G4,-2.693654410618612,2.7275999050712714,0.1282375310090419,0.1488933777804709,0.048512097788227154,84.16666666666667,23.759877707938315
Butterworth,5Hz-O5,ID01-Seat-G1,-7.594548326383303,3.402952820134736,-0.04209482923371621,0.43427594983159734,0.027786565227887184,116.66666666666667,17.691638098271266
Butterworth,5Hz-O5,ID05-Stand-G2,-11.25063609517282,2.4627514078112096,-0.027647144860400954,0.3062182585979246,0.25041963365957726,113.33333333333333,38.82373770653661
Butterworth,5Hz-O5,ID08-Seat-G3,-6.314061687244383,2.9516693532245726,0.03341260126515552,0.5234166758072304,0.055996590718054934,110.0,27.166655103941295
Butterworth,5Hz-O5,ID10-Stand-G4,-3.2817337245513145,2.7443911532381295,0.10301138473562131,0.5235351532091904,0.05199168058539924,105.0,26.48776532718288
Butterworth,10Hz-O2,ID01-Seat-G1,-1.858092611429428,2.4193140259822843,0.05110598491833379,0.736206818429689,0.5587054761278036,20.833333333333332,47.397662312369285
Butterworth,10Hz-O2,ID05-Stand-G2,-5.123832378417696,1.293705185914817,-0.0382600745154113,0.72741396547573,1.7382341456738313,20.833333333333332,46.6834526018464
Butterworth,10Hz-O2,ID08-Seat-G3,-0.0895481411182623,2.177905937169404,0.23572539894468023,0.7403738330472217,0.4267970641084487,23.333333333333332,48.30314299065455
Butterworth,10Hz-O2,ID10-Stand-G4,3.0465077741602222,2.258919701900885,0.37020895866662845,0.7281667323201221,0.07681587689650027,22.5,45.50867169471063
Butterworth,10Hz-O3,ID01-Seat-G1,-3.344500472145311,2.534277243614406,-0.08605299213474386,0.4929159157737719,0.4253271888449848,33.333333333333336,42.65251547119161
Butterworth,10Hz-O3,ID05-Stand-G2,-6.3911256842410635,1.4658603924202136,-0.1058398320739659,0.5545269106632489,1.2585141508990658,34.166666666666664,42.64550247942817
Butterworth,10Hz-O3,ID08-Seat-G3,-1.7834698316412487,2.2332051282055816,0.0889199079369228,0.5851055984198873,0.31030783815438706,34.166666666666664,44.25909396829302
Butterworth,10Hz-O3,ID10-Stand-G4,1.2732046775583896,2.2781486006191702,0.2844103098829013,0.8880991305293015,0.06426494340106916,32.5,38.1262606746474
Butterworth,10Hz-O4,ID01-Seat-G1,-4.2350827066035555,2.586217333069668,-0.09318821925556037,0.4430856586420726,0.3551386114249389,43.333333333333336,40.34984998212699
Butterworth,10Hz-O4,ID05-Stand-G2,-6.900165034967003,1.5476598623912297,-0.029401972413156553,0.5608143219764292,1.0015360581460138,45.833333333333336,40.9168901501168
Butterworth,10Hz-O4,ID08-Seat-G3,-2.7459878859692295,2.2597652613065367,0.05083643826367001,0.44099199981870885,0.25646983701394604,45.833333333333336,40.9195666194044
Butterworth,10Hz-O4,ID10-Stand-G4,0.1038260992789511,2.283931022989276,0.22430120862141534,0.6736598036975145,0.056218055320746564,42.5,31.019800778651106
Butterworth,10Hz-O5,ID01-Seat-G1,-4.832091095388993,2.608450883393599,-0.09907436336757669,0.5526973800161546,0.25233308025969664,57.5,39.52042917482395
Butterworth,10Hz-O5,ID05-Stand-G2,-7.175222802303406,1.5900519836657796,0.029821179809965476,0.5017793618224139,0.8297223794218818,60.0,40.23255565768681
Butterworth,10Hz-O5,ID08-Seat-G3,-3.3474683715737186,2.2739668643766606,0.04404163113827556,0.37301541179276176,0.1993502698709488,55.833333333333336,39.69538929250088
Butterworth,10Hz-O5,ID10-Stand-G4,-0.7020980571498968,2.2865319309259924,0.18192558043774942,0.5695793375318698,0.06365215301458411,53.333333333333336,30.807984445317704
Butterworth,15Hz-O2,ID01-Seat-G1,0.2820751926089449,2.0812166311945686,0.19975520572499164,0.8636352810741176,0.8536709788500864,15.0,50.59841564091696
Butterworth,15Hz-O2,ID05-Stand-G2,-3.1158060941940016,0.8753621028992504,0.07939195795869718,0.8924494169908673,3.047315229770341,15.0,49.55768676964457
Butterworth,15Hz-O2,ID08-Seat-G3,2.258137808846834,1.9215717927337852,0.36854187942606026,0.9207562422171125,0.6176573383602156,15.0,54.125983115627854
Butterworth,15Hz-O2,ID10-Stand-G4,5.115444136536445,2.0792054420924466,0.4344684183578231,0.8894196517302557,0.11187772259397337,14.166666666666666,57.48772219953807
Butterworth,15Hz-O3,ID01-Seat-G1,-1.465406995718607,2.141950313663106,-0.012830868793030012,0.7676275245958347,0.6848806285697151,24.166666666666668,46.40857277369812
Butterworth,15Hz-O3,ID05-Stand-G2,-4.630205169682802,0.9633015314213083,-0.10320000517444476,0.7294376381350572,2.5620473098902816,25.0,45.37318815186695
Butterworth,15Hz-O3,ID08-Seat-G3,0.2755112962914577,1.942530511960545,0.19009662782342876,0.845946579670325,0.532791850987358,24.166666666666668,48.597635569985464
Butterworth,15Hz-O3,ID10-Stand-G4,3.3070047644868055,2.0987905947429835,0.36325432741246894,0.8214180546498321,0.0957457894473222,20.833333333333332,52.19557266085948
Butterworth,15Hz-O4,ID01-Seat-G1,-2.4563783947764866,2.1820117209727674,-0.05495233913688108,0.6104153537164597,0.603100847258835,30.0,44.13993422505569
Butterworth,15Hz-O4,ID05-Stand-G2,-5.32233581977947,1.0098313473036418,-0.10400268636318166,0.5431659310449833,2.277104867450865,30.0,43.43580950750105
Butterworth,15Hz-O4,ID08-Seat-G3,-0.9521432204509678,1.9540542233144684,0.1091287793224484,0.7525370675179852,0.4052524043799264,30.0,46.08115118250829
Butterworth,15Hz-O4,ID10-Stand-G4,2.030088941502545,2.104177797122168,0.31466377579455646,0.7495052120092717,0.08149493759158245,28.333333333333332,44.41940793081615
Butterworth,15Hz-O5,ID01-Seat-G1,-3.1301129669679653,2.209892594059266,-0.03332683980718634,0.4259315221463582,0.542202539537484,39.166666666666664,41.54637297884456
Butterworth,15Hz-O5,ID05-Stand-G2,-5.5784622959601675,1.0366084874252308,-0.045654072667842716,0.6580119273178492,2.1062385372986534,40.0,42.447654091580425
Butterworth,15Hz-O5,ID08-Seat-G3,-1.7653685631761669,1.9610428382702458,0.08044115968388928,0.7205661542930232,0.3580237501046694,36.666666666666664,44.37280613576095
