iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.9607626736024018,0.8915587700078007,0.9250472078319806,106.36328125,13897
2,0.1,64,52,0.9601645436268287,0.8923856640601041,0.9228463781553303,106.36328125,13897
3,0.1,64,47,0.9591728055382976,0.8855305652882391,0.9236269362635495,106.36328125,13897
4,0.1,64,42,0.95780675385215,0.881346612157062,0.9227889753078469,106.36328125,13897
5,0.1,64,38,0.9562554748187281,0.87472329763186,0.921550039494553,106.36328125,13897
