Metric,No Filter,With Filter (15Hz),Improvement,Improvement (%)
Accuracy,0.8604883764725576,0.8801866460212174,1.969826954865983,+1.97%
Recall,0.6436882612040149,0.6971501232108357,5.346186200682079,+5.35%
Precision,0.904851139784655,0.9288976298818024,2.404649009714732,+2.40%
