iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.05,64,61,0.9626642824580437,0.8984481892435005,0.9532422068445332,106.36328125,13897
2,0.05,64,58,0.9601976160269707,0.8895074296073469,0.9478840670401381,106.36328125,13897
