,Accuracy,Recall,Precision
0,0.9039236959003156,0.7147738425271284,0.8833988256696333
1,0.9300781346630244,0.8191452213700423,0.9050284339648016
2,0.9386549246747923,0.8466597184004044,0.9102058000589455
3,0.9443056404674651,0.8553052959021121,0.9265011497034672
4,0.9441890215674287,0.8504276624053058,0.9243514725783119
5,0.9467157644015507,0.8553976734018971,0.9327410469177273
6,0.95277287939132,0.869994964418537,0.935924437923191
7,0.9507267477815905,0.8622010414834819,0.9352133061918086
8,0.9514229272757472,0.8648088962387639,0.9336956844271646
9,0.9510589349513912,0.8662313946588114,0.9313506484866446
