,Accuracy,Recall,Precision
0,0.9473645621495633,0.83158994617778,0.9101054474331791
1,0.9537664823397302,0.8662085956019899,0.916724795807971
2,0.9540520411667779,0.8710610248597186,0.9158763985694709
3,0.9556148969094045,0.8775071243555972,0.9161557047897706
4,0.955695933873837,0.8796162940513046,0.916606641084148
5,0.9573282498716915,0.8788856663537574,0.9226898865241416
6,0.9590416028339784,0.8809066106769728,0.9270626327518329
7,0.9588486576805677,0.8867209519361801,0.9235286308020788
8,0.9608244160514932,0.884426483882336,0.9323503417498124
9,0.9603034641372843,0.8908360667067399,0.9252180996663377
