Filter,Accuracy,Recall,Precision,FN Rate,FP Rate,Δ Accuracy,Δ Recall,Δ Precision
Baseline (No Filter),0.9606,0.8833,0.9451,0.1167,0.0549,-,-,-
EMA (α=0.3),0.9629,0.8983,0.9413,0.1017,0.0587,+0.0022,+0.0150,-0.0037
"Butterworth (40Hz, O2)",0.9604,0.8890,0.9377,0.1110,0.0623,-0.0002,+0.0056,-0.0074
"Biquad (30Hz, Q=1.0)",0.9607,0.8893,0.9375,0.1107,0.0625,+0.0000,+0.0060,-0.0076
EMA (α=0.5),0.9570,0.8785,0.9284,0.1215,0.0716,-0.0037,-0.0049,-0.0167
"Kalman (Q=0.0001, R=0.0001)",0.9607,0.8869,0.9436,0.1131,0.0564,+0.0001,+0.0035,-0.0015
"Kalman Light (Q=0.1, R=0.1)",0.9605,0.8936,0.9353,0.1064,0.0647,-0.0002,+0.0103,-0.0097
"Kalman Smooth (Q=0.001, R=0.1)",0.9600,0.8854,0.9400,0.1146,0.0600,-0.0007,+0.0021,-0.0051
