,Accuracy,Recall,Precision
0,0.8994844172254453,0.6466527261184235,0.8915077007268746
1,0.9327667149352985,0.7699543870149564,0.929632563481935
2,0.9507752188229217,0.8437447186130577,0.9382996551265057
3,0.9514392968151927,0.8438125900409534,0.9444769761897133
4,0.9534499774029016,0.849281592499052,0.9472305648180992
5,0.9568210955442211,0.8632696269299697,0.9484336422597256
6,0.9607594469706053,0.8832794113768294,0.9461687841012152
7,0.9613312919083942,0.8847805061257441,0.9465422461468517
8,0.9608885732468803,0.8786027750696885,0.9517844298130209
9,0.9605334759871242,0.8773067042567192,0.9515131969924274
