,Accuracy,Recall,Precision
0,0.807407593495118,0.4858275063441188,0.8364797431244926
1,0.8755966437220519,0.6815040793047931,0.9085492058255499
2,0.9006179972868412,0.7553479182279481,0.9312938666782955
3,0.9157497194727763,0.8021806869195158,0.9357573193907671
4,0.9255053677000117,0.8278895384859011,0.9417202888704763
5,0.9319616808186371,0.8499845243759625,0.9415543204012664
6,0.9344738649114874,0.8564382181059951,0.9439558022840989
7,0.933159155236229,0.8537430526166269,0.9440612607373101
8,0.9335862265320136,0.8515323797712095,0.9470787652579901
9,0.9355792259123415,0.8619918210059648,0.9437954314296725
