Filter,Research_Score,Peak_Preserved_%,Distribution_Similarity,Waveform_Correlation,Signal_Delay_ms,Noise_Reduction_%,Energy_Preserved_%,HF_Content_Preserved_%
Kalman (Q=0.05 R=0.1),0.9567345018744727,97.92095877280764,0.8820504947007873,0.9605967673211827,0.0,8.244218357495658,98.40440726949718,39.49241635324884
Moving Average (5),0.9235967782673185,99.06249915566909,0.7660651792478714,0.9688861224647853,0.0,9.874674744424372,97.84855320980105,28.833217439040155
Single-Pole IIR (α=0.40),0.9127477248203878,94.61078385082233,0.8838615969189099,0.9305674938443328,5.0,12.117508090805684,97.70498990967859,30.334200059568616
Butterworth (40Hz O1),0.8936840975240596,99.81272119223651,0.8943193518958242,0.961598323343488,5.0,3.528431364330742,99.1681499539623,49.2243240564956
Complementary (α=0.80),0.738029440700382,78.85051796858879,0.8071705963741687,0.7774009202680924,10.0,27.630985602216207,95.21146796793131,12.866422258517051
Biquad (30Hz Q=1.50),0.5612628672217075,121.61099946703511,0.8519290654639746,0.9056649029064175,5.0,-7.744691783179647,101.53420850438928,83.0925531276142
