filter_type,filter_name,params,peak_preserved,peak_loss,noise_reduction,snr_db,correlation,delay_ms,composite_score
Kalman,Kalman Q=0.001 R=0.1,"{'process_noise': 0.001, 'measurement_noise': 0.1}",61.4146310983061,38.5853689016939,48.7520813071383,0,0.579124244323496,15.0,0.565652041611688
Kalman,Kalman Q=0.001 R=0.5,"{'process_noise': 0.001, 'measurement_noise': 0.5}",51.833612678161685,48.166387321838315,67.38020698458554,0,0.37426392770988254,20.0,0.521754249979368
Kalman,Kalman Q=0.001 R=1.0,"{'process_noise': 0.001, 'measurement_noise': 1.0}",49.51066264566827,50.48933735433173,73.32643099910477,0,0.3005887824534267,20.0,0.5081985783160154
Kalman,Kalman Q=0.010 R=0.1,"{'process_noise': 0.01, 'measurement_noise': 0.05}",92.1822839010726,7.817716098927406,14.286763592651896,0,0.9125089000139639,5.0,0.6853420963864352
Kalman,Kalman Q=0.010 R=0.1,"{'process_noise': 0.01, 'measurement_noise': 0.1}",83.75888333188524,16.241116668114756,20.557749860005835,0,0.8570255004606275,10.0,0.6538164330457468
Kalman,Kalman Q=0.010 R=0.5,"{'process_noise': 0.01, 'measurement_noise': 0.5}",66.29489168159205,33.70510831840795,39.72074132940453,0,0.6717219747780049,15.0,0.5858583831479833
Kalman,Kalman Q=0.010 R=1.0,"{'process_noise': 0.01, 'measurement_noise': 1.0}",61.414631098305726,38.585368901694274,48.77102968013358,0,0.5790855770826965,15.0,0.5656972865584327
Kalman,Kalman Q=0.050 R=0.1,"{'process_noise': 0.05, 'measurement_noise': 0.05}",99.38069631924678,0.6193036807532195,5.199367252851861,0,0.981005044414564,0.0,0.7074224003599119
Kalman,Kalman Q=0.050 R=0.1,"{'process_noise': 0.05, 'measurement_noise': 0.1}",97.92095877280764,2.079041227192363,8.244218357495658,0,0.9605967673211827,0.0,0.7045955203600723
Kalman,Kalman Q=0.050 R=0.5,"{'process_noise': 0.05, 'measurement_noise': 0.5}",83.75888333190366,16.24111666809634,20.556588261169907,0,0.8570229168844097,10.0,0.6538121731764472
Kalman,Kalman Q=0.050 R=1.0,"{'process_noise': 0.05, 'measurement_noise': 1.0}",76.28635499009741,23.713645009902592,28.192246234615894,0,0.785287523421791,10.0,0.6253084156907747
Kalman,Kalman Q=0.100 R=0.1,"{'process_noise': 0.1, 'measurement_noise': 0.05}",99.81521147093873,0.1847885290612652,3.1688030133743106,0,0.9918819818003837,0.0,0.706331849463993
Kalman,Kalman Q=0.100 R=0.1,"{'process_noise': 0.1, 'measurement_noise': 0.1}",99.38069631924678,0.6193036807532195,5.199361931087854,0,0.9810050138014361,0.0,0.7074223752106815
Kalman,Kalman Q=0.100 R=0.5,"{'process_noise': 0.1, 'measurement_noise': 0.5}",92.1822839010726,7.817716098927406,14.28612967612699,0,0.9125067527209518,5.0,0.6853395504489569
Kalman,Kalman Q=0.100 R=1.0,"{'process_noise': 0.1, 'measurement_noise': 1.0}",83.75888333192111,16.241116668078888,20.555492576309753,0,0.8570204243168527,10.0,0.6538081383516696
