iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.963558720174136,0.8915051620164481,0.9509106382950755,106.36328125,13897
2,0.1,64,52,0.963291244316138,0.8918696299016645,0.9502727163768053,106.36328125,13897
3,0.1,64,47,0.9605104177235038,0.8793544419372774,0.9489228058637638,106.36328125,13897
4,0.1,64,42,0.9593851744588225,0.8752244160258812,0.9475910764914112,106.36328125,13897
5,0.1,64,38,0.9573007074275279,0.8681437913670479,0.9405295917332095,106.36328125,13897
