filter_type,config_label,signal_label,snr_db,smoothness_score,correlation,peak_preservation,edge_sharpness,phase_delay_ms,composite_score
EMA,α=0.01,ID01-Seat-G1,-20.445774886884113,4.829297179974288,0.24332815706967592,0.16005742278427312,0.04519811014257289,19.166666666666668,32.67850432729001
EMA,α=0.01,ID05-Stand-G2,-25.421833074159135,3.59724300645115,0.27213839253030725,0.24072089526413498,0.13299775379473808,39.166666666666664,34.673973888866
EMA,α=0.01,ID08-Seat-G3,-19.903573315780637,4.480087733775148,0.1917424089801454,0.012911671892968228,0.03217340531069245,658.3333333333334,19.93671491649069
EMA,α=0.01,ID10-Stand-G4,-13.684703923907653,4.3922014416757245,0.2522328885350753,0.21949272800312328,0.00707644492537645,105.0,26.81956105440426
EMA,α=0.05,ID01-Seat-G1,-9.19600656217792,3.4449942284375816,0.3786958408663197,0.4717653251204488,0.22540702255373837,15.0,49.1922239922105
EMA,α=0.05,ID05-Stand-G2,-12.071154464606538,2.2126741264087197,0.40472148922688694,0.3998418287443868,0.6843100557829606,14.166666666666666,47.2319530111235
EMA,α=0.05,ID08-Seat-G3,-7.159148427889417,3.164771256885505,0.4125078510846804,0.3745408176015372,0.1585365210260955,24.166666666666668,44.463213048990674
EMA,α=0.05,ID10-Stand-G4,-3.057603237333416,3.1540787227534537,0.48542513720296565,0.40955417956717577,0.03215504563557608,38.333333333333336,40.556858958007766
EMA,α=0.1,ID01-Seat-G1,-4.569018129923798,2.8708848608793107,0.49832882858084204,0.6013079336065172,0.4375405365528755,12.5,56.02071010494074
EMA,α=0.1,ID05-Stand-G2,-6.99279742383463,1.635443537249384,0.5143719539585286,0.5969487277172539,1.3464392196988741,10.833333333333334,56.44211811281515
EMA,α=0.1,ID08-Seat-G3,-2.4510274535963164,2.6566375547035763,0.5513390359277003,0.5321173936729015,0.29157922161801464,16.666666666666668,53.56086098413372
EMA,α=0.1,ID10-Stand-G4,1.057659632742586,2.704697093244619,0.6121766317193266,0.5605223116310207,0.05597976680727246,22.5,52.62874853961055
EMA,α=0.15,ID01-Seat-G1,-1.711492521879369,2.5527265291814483,0.59054657228521,0.6697124435027278,0.639035449370257,9.166666666666666,60.4648007735403
EMA,α=0.15,ID05-Stand-G2,-4.275264919654888,1.3034126077119537,0.5938098846849603,0.7150062914615981,1.9676611970654312,8.333333333333334,62.26570180476367
EMA,α=0.15,ID08-Seat-G3,0.2991350945539705,2.3796091090001887,0.6407204982785676,0.6997615672747518,0.4134942704015805,12.5,61.75202987607182
EMA,α=0.15,ID10-Stand-G4,3.530311947051823,2.4624202511324493,0.6885497348621978,0.6695678384869973,0.07546477649832176,15.0,61.301515168419876
EMA,α=0.2,ID01-Seat-G1,0.42896966081403143,2.3382130074619436,0.6636972966984231,0.7558166255760983,0.8261497166565824,8.333333333333334,64.95685950938014
EMA,α=0.2,ID05-Stand-G2,-2.331876255702501,1.0711199069173107,0.6579633221825087,0.7666226741395622,2.5580047799424555,6.666666666666667,65.36791009428897
EMA,α=0.2,ID08-Seat-G3,2.3876642071524876,2.193853245438897,0.7072766523386133,0.7772866176822376,0.5298167353410307,9.166666666666666,67.17468017420042
EMA,α=0.2,ID10-Stand-G4,5.41716001450526,2.2979548331563144,0.7438452113213252,0.7565601750565792,0.09580572300965712,10.833333333333334,67.96948378786897
EMA,α=0.25,ID01-Seat-G1,2.1952061594352856,2.1791301045994933,0.7230312040773738,0.781517924866756,0.9998286858996375,7.5,67.79619851121471
EMA,α=0.25,ID05-Stand-G2,-0.7254936027665458,0.8942152025551491,0.7122813634176696,0.8261812979019393,3.242026105150069,5.833333333333333,68.43389921116626
EMA,α=0.25,ID08-Seat-G3,4.14722165716104,2.056929665836846,0.7598856062317118,0.8556903678708755,0.6428060395733384,8.333333333333334,71.75439113087016
EMA,α=0.25,ID10-Stand-G4,7.005539161607548,2.173348905733133,0.7872016257576844,0.8124418886998542,0.11555777124774226,8.333333333333334,72.07959340499728
EMA,α=0.3,ID01-Seat-G1,3.7502432866741167,2.0542204089308496,0.7720317297054017,0.8352906257704756,1.1614462586079293,5.833333333333333,71.52410282421808
EMA,α=0.3,ID05-Stand-G2,0.7108964092495169,0.7527194647452132,0.7590885771907017,0.8785745602582815,3.945656885972143,5.0,71.49188647152513
EMA,α=0.3,ID08-Seat-G3,5.717266960038842,1.949891926117236,0.8027362621939002,0.9047738123265076,0.7615084124703541,8.333333333333334,74.90009417768903
EMA,α=0.3,ID10-Stand-G4,8.420320818839228,2.0723853904877996,0.8226969485125757,0.8875513202227161,0.13511153352864225,5.833333333333333,76.44824417823666
EMA,α=0.4,ID01-Seat-G1,6.551476227509711,1.8667135596503917,0.8475911121423799,0.9177061709541037,1.4538310831970624,4.166666666666667,77.27598744595085
EMA,α=0.4,ID05-Stand-G2,3.358597060212702,0.5363945479759517,0.8349013625575182,0.9131676227860254,5.340363884082852,5.0,75.16368576598002
EMA,α=0.4,ID08-Seat-G3,8.56305715116567,1.789211400584037,0.8680810994869962,0.923301721513767,0.982012523989288,4.166666666666667,78.7849719875363
EMA,α=0.4,ID10-Stand-G4,10.982548816809468,1.9117234636327958,0.8780249750154736,0.9313751324461771,0.17161208765334893,4.166666666666667,80.42644533591971
EMA,α=0.5,ID01-Seat-G1,9.231654060019887,1.7286792003316809,0.901751583141856,0.9431511422835867,1.7130757530997487,2.5,80.65239075706332
EMA,α=0.5,ID05-Stand-G2,5.947762264188657,0.3744942404344731,0.8918736328979809,0.9337707837113328,7.010099132008043,0.8333333333333334,78.86729638879402
EMA,α=0.5,ID08-Seat-G3,11.274968136559936,1.669518875122464,0.9146487971121725,0.9738386248102234,1.182108876629521,3.3333333333333335,82.77490122665372
EMA,α=0.5,ID10-Stand-G4,13.440010292073671,1.782776568153919,0.9190959501205289,0.9661231143465551,0.20972179705207972,3.3333333333333335,83.65408673330754
MAF,N=3,ID01-Seat-G1,7.506807269243011,1.6847826307601086,0.765185564108542,0.9493260587950835,1.577111112419516,5.0,77.45759915407756
