baseline_accuracy,baseline_recall,baseline_precision,baseline_size_kb,baseline_params,final_accuracy,final_recall,final_precision,final_size_kb,final_params,accuracy_drop,size_reduction_kb,compression_ratio,target_pruning_pct,num_iterations,total_epochs,filter,subject,prune_pct,seed,exp_name
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9605580744452652,0.8939272276828456,0.9446795582717014,56.36328125,13897.0,0.003509168719277,0.0,1.0,10.0,2.0,6.0,ema,2,10,123,ema_s02_prune10pct_seed123
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.963742123806865,0.9019374262739642,0.9517936911443374,56.36328125,13897.0,0.0003251193576772,0.0,1.0,10.0,2.0,6.0,ema,2,10,42,ema_s02_prune10pct_seed42
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.960109268375428,0.8893853964942855,0.9471956468523336,56.36328125,13897.0,0.003957974789114,0.0,1.0,10.0,2.0,6.0,ema,2,10,456,ema_s02_prune10pct_seed456
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9596392588692207,0.8888959773960154,0.9503625242454709,56.36328125,13897.0,0.0044279842953214,0.0,1.0,20.0,2.0,7.0,ema,2,20,123,ema_s02_prune20pct_seed123
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.962855113385376,0.8967031001926626,0.9555524931559682,56.36328125,13897.0,0.0012121297791661,0.0,1.0,20.0,2.0,7.0,ema,2,20,42,ema_s02_prune20pct_seed42
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9610987620727066,0.8948751182414046,0.94985179703199,56.36328125,13897.0,0.0029684810918355,0.0,1.0,20.0,2.0,7.0,ema,2,20,456,ema_s02_prune20pct_seed456
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.959331809041852,0.8900406021936498,0.9487039840034642,56.36328125,13897.0,0.0047354341226901,0.0,1.0,30.0,3.0,10.0,ema,2,30,123,ema_s02_prune30pct_seed123
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.959476699190382,0.89040303722252,0.9492139183958236,56.36328125,13897.0,0.00459054397416,0.0,1.0,30.0,3.0,10.0,ema,2,30,42,ema_s02_prune30pct_seed42
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9614309492425072,0.893546285730913,0.9540518602390564,56.36328125,13897.0,0.0026362939220349,0.0,1.0,30.0,3.0,10.0,ema,2,30,456,ema_s02_prune30pct_seed456
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9589960879659896,0.8878772852349097,0.948870041637571,56.36328125,13897.0,0.0050711551985525,0.0,1.0,40.0,4.0,13.0,ema,2,40,123,ema_s02_prune40pct_seed123
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9588299943810894,0.8876821104524829,0.9492571154525108,56.36328125,13897.0,0.0052372487834527,0.0,1.0,40.0,4.0,13.0,ema,2,40,42,ema_s02_prune40pct_seed42
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9578723058383662,0.8837079357755661,0.9496759763973408,56.36328125,13897.0,0.0061949373261759,0.0,1.0,40.0,4.0,13.0,ema,2,40,456,ema_s02_prune40pct_seed456
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9561583613984374,0.881028769268441,0.9448095844359388,56.36328125,13897.0,0.0079088817661048,0.0,1.0,50.0,5.0,16.0,ema,2,50,123,ema_s02_prune50pct_seed123
0.9640672431645422,0.9046585872567106,0.9511867152992858,56.36328125,13897.0,0.9568616087047174,0.8817107028778036,0.9457272577256132,56.36328125,13897.0,0.0072056344598248,0.0,1.0,50.0,5.0,16.0,ema,2,50,42,ema_s02_prune50pct_seed42
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9639230407393402,0.894423332837459,0.9502730932340666,56.36328125,13897.0,0.0005764565905128,0.0,1.0,10.0,2.0,6.0,ema,3,10,123,ema_s03_prune10pct_seed123
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9616079910718404,0.8813782284566939,0.9544169322522348,56.36328125,13897.0,0.0028915062580127,0.0,1.0,10.0,2.0,6.0,ema,3,10,42,ema_s03_prune10pct_seed42
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9619031368461828,0.8848221579030187,0.9499270649610432,56.36328125,13897.0,0.0025963604836701,0.0,1.0,10.0,2.0,6.0,ema,3,10,456,ema_s03_prune10pct_seed456
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9641582350282696,0.8965384676118608,0.9504236337403178,56.36328125,13897.0,0.0003412623015836,0.0,1.0,20.0,2.0,7.0,ema,3,20,123,ema_s03_prune20pct_seed123
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9647393032715064,0.8999667343689806,0.950620389053194,56.36328125,13897.0,-0.0002398059416534,0.0,1.0,20.0,2.0,7.0,ema,3,20,42,ema_s03_prune20pct_seed42
0.9644994973298532,0.8969168406234675,0.95121103004259,56.36328125,13897.0,0.9624104186458344,0.8882334263376859,0.9501685530736796,56.36328125,13897.0,0.0020890786840187,0.0,1.0,20.0,2.0,7.0,ema,3,20,456,ema_s03_prune20pct_seed456
