,Accuracy,Recall,Precision
0,0.9058669445956041,0.6674187541976356,0.909698288184179
1,0.9379963291244316,0.7854381015758263,0.9422973212920815
2,0.9514900249951578,0.8402081565817692,0.9485682223944455
3,0.9508536169192315,0.8346966446188565,0.9515432881117232
4,0.949935898027135,0.8294159711535679,0.9536211735676134
5,0.9510473063336439,0.8384413061586132,0.9492770305542308
6,0.9566781343097739,0.8589782033837039,0.9503503757283255
7,0.9570701247913227,0.8665804983002378,0.9441894144914953
8,0.9591269219062728,0.8776853084756653,0.9432312739106417
9,0.9592191549607548,0.8756363899719146,0.9468653164445284
