,Accuracy,Recall,Precision
0,0.9179130461998302,0.7376617551750216,0.9042396051326971
1,0.9407567085408459,0.828739291453895,0.904600509167983
2,0.9538784149103898,0.8677936242655919,0.920439762224644
3,0.9532524539625284,0.8609562092204529,0.9249738080279022
4,0.9647388373557845,0.9031195371624594,0.939936706911458
5,0.962677078483766,0.8943697389061802,0.9362353612417721
6,0.9653178512325562,0.9058571459005892,0.9375115522905014
7,0.9633265129671723,0.8949234258297827,0.940013732024999
8,0.9689053899149866,0.9136856863252886,0.9506591834689324
9,0.9690853536874968,0.9149149856302152,0.9550933042054703
