,Accuracy,Recall,Precision
0,0.9425988168603193,0.8321789062743686,0.8814757226902161
1,0.9508298571048194,0.8621219481590959,0.9077248232355309
2,0.9529754072107463,0.8759114430331989,0.9068716804954274
3,0.9572703663256683,0.8792898145877848,0.9224914716329854
4,0.9565024446150937,0.8780422357935734,0.9197907836496653
5,0.9564214076506612,0.8863612866135527,0.914124320389381
6,0.9572935197440775,0.8839825116122414,0.9183735053120607
7,0.9581733496436303,0.8816198688034188,0.9236701023330468
8,0.9593233027579581,0.8873421609437901,0.9233435158601837
9,0.9593734684978448,0.8885077323196763,0.9224120613395277
