epoch,loss,cumulative_epoch,iteration
1,0.0962118914510731,1,1
2,0.09184514465849952,2,1
3,0.09101381718343228,3,1
1,0.09626807306796165,4,2
2,0.09226019781236607,5,2
3,0.0917492391186448,6,2
1,0.09587859727737329,7,3
2,0.09418918314608399,8,3
3,0.09366323867681335,9,3
4,0.093561268092515,10,3
