iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.9636048367013771,0.8917851731324908,0.950874359419745,106.36328125,13897
2,0.1,64,52,0.9632774093579657,0.8919446800516413,0.9501161476199746,106.36328125,13897
3,0.1,64,47,0.9609070198577766,0.8810121371850471,0.9492115655929438,106.36328125,13897
4,0.1,64,42,0.9627193993783492,0.8909832483062441,0.9481717532087439,106.36328125,13897
