,Accuracy,Recall,Precision
0,0.9396506149162039,0.798265416294177,0.8951853902004794
1,0.9476038141397927,0.85871226087732,0.8926757641643992
2,0.9509186118753883,0.8728010359125122,0.8991814762749378
3,0.9542102561925747,0.8883629198961464,0.9014540758977174
4,0.956903770534188,0.8813246221836956,0.9181024829549449
5,0.9585438043381789,0.8901959097597916,0.918074770466786
6,0.9584318961492007,0.8920917583834248,0.9156260400751549
7,0.9593271616610263,0.8872599256751675,0.9237071329764316
8,0.9584666262768146,0.8864778137672307,0.9192860930416934
9,0.9595355424267098,0.8918956708918444,0.921756466000898
