iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.962216729231422,0.8860159535338747,0.9492088041171085,106.36328125,13897
2,0.1,64,52,0.9612759520757049,0.8838180431447015,0.9491369034534444,106.36328125,13897
3,0.1,64,47,0.9610638160503961,0.8809216409306317,0.9492146040261978,106.36328125,13897
4,0.1,64,42,0.9625210983112128,0.8900881069677109,0.9484768749700188,106.36328125,13897
