,Accuracy,Recall,Precision
0,0.9153346785735742,0.7846504128012722,0.8740779867115075
1,0.9338912193036085,0.8404710301586199,0.9032154028924072
2,0.9425316196244872,0.8656027167328009,0.9174151973666529
3,0.9492743123902281,0.871845768678518,0.933180119120513
4,0.9558367759468218,0.8903179028180199,0.9368501120221115
5,0.9587027737628678,0.8922495628906445,0.9437994511350943
6,0.9604520572634139,0.8956125096458984,0.9451569433358703
7,0.9605085997604011,0.8889579355031275,0.9593362171728058
8,0.9605828117876971,0.8953226361815922,0.9474346397060934
9,0.9590066896841748,0.8905944674675487,0.9412875159032839
