iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.9620917896760468,0.8970418881921656,0.951994219994458,106.36328125,13897
2,0.1,64,52,0.9579747891141558,0.885378510863388,0.9439831680680699,106.36328125,13897
3,0.1,64,47,0.960717100218042,0.8920723138432345,0.9532064779385078,106.36328125,13897
4,0.1,64,42,0.9570347701017412,0.8820623803266617,0.9463154950798334,106.36328125,13897
5,0.1,64,38,0.9576001950716146,0.8840118939078941,0.9455252456867745,106.36328125,13897
