,Accuracy,Recall,Precision
0,0.9033335335880102,0.7197349950017105,0.8952317731264667
1,0.9317284687938425,0.8244855915182716,0.9010498678651816
2,0.9435988592551233,0.8560377619373508,0.9115824175083398
3,0.9483731663444922,0.8713741366867704,0.9115699646709239
4,0.9522074544214466,0.8781421314934705,0.9228756161069495
5,0.9548190110010496,0.885868583585569,0.9233526246337231
6,0.9548932230283455,0.8794525121865867,0.928330284855089
7,0.9594378262237033,0.8960948395997791,0.9315468764368955
8,0.9608125156817081,0.9024471268009652,0.9344371340539739
9,0.9617242634456291,0.9047001283882505,0.9323361601523332
