iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.960423090132399,0.8908570035235325,0.9251619433542047,106.36328125,13897
2,0.1,64,52,0.9597169108709158,0.8881522869171231,0.9249322384261894,106.36328125,13897
3,0.1,64,47,0.9592306890843209,0.8833080085961044,0.9263509632067841,106.36328125,13897
4,0.1,64,42,0.9576138086987392,0.8795309636670563,0.9232627552161669,106.36328125,13897
5,0.1,64,38,0.956815015763619,0.8774914804804327,0.9216471630438328,106.36328125,13897
