,Accuracy,Recall,Precision
0,0.9453154846203419,0.830757359640914,0.9033566731051377
1,0.9521534608572167,0.8676466376156066,0.9090317317716237
2,0.9560200817315669,0.8735134521598267,0.9214477414264713
3,0.9568188746666872,0.8796438162969501,0.9207762617544288
4,0.9570812800753258,0.87861353857704,0.9212192719939802
5,0.9580575825515839,0.8762838992918007,0.9288147192731898
6,0.9587213138793167,0.8786984242706841,0.9278730976154265
7,0.9599908929887591,0.875479409738713,0.9364160850113112
8,0.9605427161275136,0.8845656300058232,0.929895649302571
9,0.960079647759328,0.8788073011837915,0.9339354352783602
