,Accuracy,Recall,Precision
0,0.9154269006926702,0.7053325373256456,0.9084855770737773
1,0.9488106547624537,0.8339031356453314,0.9423428835331065
2,0.9552808035343706,0.8571562807565154,0.9476024782991164
3,0.9588963392700676,0.8710007865425581,0.948652557704514
4,0.9575082318001126,0.8633295034176033,0.9513508994474373
5,0.9601829903800925,0.8765107264273192,0.9511743175989291
6,0.9629084771400375,0.8901564904669211,0.9496929411571873
7,0.9617186707372188,0.8861829575909533,0.9484540466719509
8,0.963199011261656,0.8918449517271092,0.9492303083568118
9,0.9644994973298531,0.8969168406234675,0.9512110300425901
