,Accuracy,Recall,Precision
0,0.9452537421712504,0.8280396923911019,0.9057919070717514
1,0.9517174048105086,0.8622703747315379,0.9113558322968913
2,0.95484697519883,0.876151844571224,0.914554295884469
3,0.9564947268089573,0.8809234635002999,0.9172929526494527
4,0.9574710292852154,0.8775675014207446,0.9223301643237651
5,0.9588988234204545,0.8824688275018836,0.9254105971083082
6,0.959304008242617,0.8861414690515715,0.9244090572026293
7,0.959358032885572,0.8914452548027239,0.9192030875209241
8,0.9601606847237604,0.8967100696672533,0.9187455561366139
9,0.9599870340856907,0.8933855277648199,0.921639825042018
