iteration,prune_amount,neurons_before,neurons_after,accuracy,recall,precision,model_size_kb,parameters
1,0.1,64,58,0.9610881603545215,0.8937286366210738,0.9491832294984708,106.36328125,13897
2,0.1,64,52,0.9597240726147017,0.8890065387334285,0.9504916096953568,106.36328125,13897
