epoch,loss,cumulative_epoch,iteration
1,0.10248149760612962,1,1
2,0.0984217362903936,2,1
3,0.09769291016575672,3,1
1,0.10119657084349641,4,2
2,0.09747758308230413,5,2
3,0.0966528123473348,6,2
4,0.09644351824347819,7,2
