,Accuracy,Recall,Precision
0,0.9494908177401492,0.8451892829633898,0.9091085895709222
1,0.9537973535642759,0.8710930923368057,0.9113683968716128
2,0.9550244847399678,0.875387048723697,0.9134816036323825
3,0.9562863460432738,0.8744319855016001,0.9209840204783946
4,0.9577874593368089,0.8789200128769771,0.9239322403418054
5,0.9581077482914707,0.8842159221046064,0.9203185674438025
6,0.9586325591087478,0.885789385120965,0.9206188948196197
7,0.9598789847997808,0.8853828197346949,0.9259348562033619
8,0.9593966219162541,0.8883125374270511,0.9220062613642479
9,0.9578376250766957,0.8725739889020684,0.9287911752885669
